[2025-07-02 04:28:54,674][INFO] ============================================================
[2025-07-02 04:28:54,674][INFO] Configuration: {'data_dir': 'data/simple_graph/composition_90/composition_90_fixed', 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 50000, 'test_interval': 1000, 'device': 'cuda:0', 'learning_rate': 0.0005, 'batch_size': 1024, 'train_paths_per_pair': 10, 'checkpoint_interval': 5000, 'seed': 42, 'eval_temperature': 0.1, 'eval_top_k': 10}
[2025-07-02 04:28:54,674][INFO] ============================================================
[2025-07-02 04:28:58,403][INFO] Iter 0: loss=0.0000, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:29:25,601][INFO] Iter 1000: loss=0.9735, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:29:52,848][INFO] Iter 2000: loss=0.4503, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:30:20,061][INFO] Iter 3000: loss=0.4287, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:30:47,267][INFO] Iter 4000: loss=0.4241, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:31:14,423][INFO] Iter 5000: loss=0.4223, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:31:41,665][INFO] Iter 6000: loss=0.4212, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:32:08,876][INFO] Iter 7000: loss=0.4204, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:32:36,096][INFO] Iter 8000: loss=0.4199, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:33:03,351][INFO] Iter 9000: loss=0.4195, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:33:30,605][INFO] Iter 10000: loss=0.4191, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:33:57,836][INFO] Iter 11000: loss=0.4190, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:34:25,222][INFO] Iter 12000: loss=0.4187, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
[2025-07-02 04:34:52,510][INFO] Iter 13000: loss=0.4186, S1->S2=0.00%, S2->S3=0.00%, S1->S3=0.00%
